Peak,Elev-M,Prom-M,Country,State/Prov,County,Range,Url,PeakBagger PID,Latitude,Longitude,note,osmId,safeToCreate
Monte Lavanech,2230.1,335.9,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=46627,46627,,,matched via exact name,4636945843,false
Cima Valdritta,2217.4,1947.5,Italy,Trentino-Alto Adige/Veneto,Verona/Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=10093,10093,45.72637,10.84385,matched via strong spatial match,26862714,false
Monte Bondone,2180.4,1690.7,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=13271,13271,,,"unresolved: no confident spatial match and multiple strong-name candidates (candidates: 0 Monte Besdone; 0 Monte Bronzone; 0 Monte Foldone, ...)",,false
Monte Bullaccia,2174,335,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46562,46562,,,unresolved: no confident spatial match and no strong-name match,,false
Becco di Filadonna,2149.9,933.3,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=13681,13681,,,matched via exact name,26862538,false
La Paganella,2125,1106.6,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=13610,13610,,,unresolved: no confident spatial match and no strong-name match,,true
Monte Roën,2115.1,751.7,Italy,Trentino-Alto Adige,Trento/Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=13795,13795,,,"unresolved: no confident spatial match and multiple strong-name candidates (candidates: 0 Monte Moro; 0 Monte Nero; 0 Monte Naro, ...)",,false
Palon,2090.9,533.9,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=92431,92431,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Palon),,false
Monte Altissimo di Nago,2078.6,654.5,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=13934,13934,,,matched via exact name,26863784,false
Monte Agaro,2066.4,458.4,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46616,46616,,,matched via exact name,1071250094,false
Monte Stivo,2060.2,500.2,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=44725,44725,,,matched via exact name,310199149,false
La Petta,2058.8,483,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=195606,195606,,,matched via exact name,8004102232,false
Cima Parì,1991.6,412.6,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=45256,45256,,,matched via exact name,450174246,false
Monte Caplone,1976.2,1229.4,Italy,Lombardy/Trentino-Alto Adige,Trento/Brescia,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=13584,13584,,,matched via exact name,26863811,false
Monte Tremalzo,1973.5,542.9,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=44542,44542,,,matched via exact name,533994077,false
Dosso di Costalta,1955.3,498.8,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46605,46605,,,matched via exact name,285976286,false
Cima Sera,1908.7,335.8,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=46624,46624,,,matched via exact name,330072190,false
Monte Cornetto,1899,442.5,Italy,Trentino-Alto Adige/Veneto,Vicenza,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46637,46637,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Monte Cornetto),,false
Craunel,1873.3,372.4,Italy,Trentino-Alto Adige,Trento,Ortles,https://www.peakbagger.com/peak.aspx?pid=125128,125128,,,unresolved: no confident spatial match and no strong-name match,,true
Monte Macaion,1866.3,345.5,Italy,Trentino-Alto Adige,Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=125346,125346,,,unresolved: no confident spatial match and no strong-name match,,true
Monte Zugna,1864.8,405.9,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=92438,92438,,,matched via exact name,309514870,false
Cima Spessa,1821.1,354,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=45765,45765,,,matched via exact name,518977195,false
Monte Corno,1806.3,707.6,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=13831,13831,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Monte Corno),,false
Monte Misone,1803.8,1040.9,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=13635,13635,,,matched via exact name,301563250,false
La Marzola,1737.5,1046.5,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=13629,13629,,,matched via exact name,26863478,false
Monte Totoga,1705.2,718.4,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=13833,13833,,,matched via exact name,26863994,false
Monte Stigolo,1699.3,402.9,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=46626,46626,,,matched via exact name,517874444,false
Monte Mezza,1678.7,767.8,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=13783,13783,,,matched via exact name,26863901,false
Monte Silana,1656.4,389.4,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46615,46615,,,matched via exact name,4411383229,false
Monte Casale,1632.2,786.5,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=13776,13776,,,matched via exact name,1389912649,false
Tisner Gall,1631,351,Italy,Trentino-Alto Adige,Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=124516,124516,,,unresolved: no confident spatial match and no strong-name match,,false
Monte Carone,1621.1,395.9,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=45691,45691,,,matched via exact name,2584876217,false
Monte Biaena,1617.4,365.3,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=89680,89680,,,matched via exact name,313155440,false
Monte Pozza,1616,326,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46563,46563,,,"unresolved: no confident spatial match and multiple strong-name candidates (candidates: 0 Monte Pozzo; 0 Monte Ponta; 0 Monte Rozzo, ...)",,false
Monte Finonchio,1602.9,348.1,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46621,46621,,,matched via exact name,289618116,false
Gac',1593.2,495.7,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46607,46607,,,unresolved: no confident spatial match and no strong-name match,,true
Cima Cucul,1563,401,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46564,46564,,,matched via strong-name fallback,5262334333,false
Dosso Alto,1553.7,522,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=144226,144226,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Dosso alto),,false
Colle della Stanga,1537.2,587.6,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46618,46618,,,matched via exact name,4222709306,false
Ceramonte,1516.6,492.8,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46606,46606,,,matched via exact name,4969260870,false
Monte San Martino,1449.6,438.8,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=46623,46623,,,unresolved: no confident spatial match and multiple exact-name candidates (candidates: 0 Monte San Martino),,false
Monte Biaina,1413,306.6,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=46625,46625,,,matched via exact name,3842372687,false
Doss Pagano,1350.5,411,Italy,Trentino-Alto Adige,Trento,Brenta-Adamello-Garda Group,https://www.peakbagger.com/peak.aspx?pid=46622,46622,,,matched via strong-name fallback,1775862125,false
Monte Abete,1222,311,Italy,Trentino-Alto Adige,Bolzano,Dolomites,https://www.peakbagger.com/peak.aspx?pid=48426,48426,,,unresolved: no confident spatial match and multiple strong-name candidates (candidates: 0 Monte Abelle; 0 Monte Arete),,false
Monte Calisio,1096.4,446.8,Italy,Trentino-Alto Adige,Trento,Dolomites,https://www.peakbagger.com/peak.aspx?pid=46602,46602,,,matched via exact name,374292023,false
Monte Zebrù,3735,200,Italy,Lombardy/Trentino-Alto Adige,Sondrio/Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=45184,45184,,,matched via exact name,421818424,false
Palon de la Mare,3693.9,275.8,Italy,Trentino-Alto Adige,Trento,Ortles,https://www.peakbagger.com/peak.aspx?pid=45175,45175,,,matched via exact name,428616101,false
Monte Vioz,3645.4,240,Italy,Lombardy/Trentino-Alto Adige,Trento/Sondrio,Ortles,https://www.peakbagger.com/peak.aspx?pid=45174,45174,,,matched via exact name,898165602,false
Punta Taviela,3610.9,282.2,Italy,Lombardy/Trentino-Alto Adige,Sondrio,Ortles,https://www.peakbagger.com/peak.aspx?pid=45173,45173,,,matched via exact name,529691649,false
Similaun,3596.5,277.9,Italy/Austria,Trentino-Alto Adige/Tirol,Bolzano/Imst,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=10109,10109,,,matched via exact name,256042799,false
Schwemser Spitze,3456,212,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=121730,121730,,,unresolved: no confident spatial match and no strong-name match,,false
Gioveretto,3439,289,Italy,Trentino-Alto Adige,Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=125425,125425,,,unresolved: no confident spatial match and no strong-name match,,true
Wilder Freiger,3418.5,282.5,Italy/Austria,Trentino-Alto Adige/Tirol,Bolzano/Innsbruck-Land,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=45329,45329,,,unresolved: no confident spatial match and no strong-name match,,false
Cima dei Corvi,3393,202,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=127314,127314,,,unresolved: no confident spatial match and multiple strong-name candidates (candidates: 0 Cima del Corvo; 0 Cima del Corvo),,false
Tschenglser Hochwand,3375,200,Italy,Trentino-Alto Adige,Bolzano,Ortles,https://www.peakbagger.com/peak.aspx?pid=39361,39361,,,unresolved: no confident spatial match and no strong-name match,,false
Punta Valbella,3359,232,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=127316,127316,,,unresolved: no confident spatial match and no strong-name match,,true
Peak 3277,3277,252,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=125848,125848,,,unresolved: no confident spatial match and no strong-name match,,true
Wildgall,3273,292,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=133756,133756,,,matched via exact name,2918034667,false
Botzer,3251,275,Italy,Trentino-Alto Adige,Bolzano,Tirol Alpen,https://www.peakbagger.com/peak.aspx?pid=45332,45332,,,unresolved: no confident spatial match and multiple strong-name candidates (candidates: 0 Bater; 0 Motter),,false
