Name,Height,Zone,Easting,Northing,Latitude,Longitude,Points
Grey Mountain,831,55G,5 09 460,52 29 050,-43.09121,147.11623,1
Greycap,898,55G,4 27 200,52 41 920,-42.97189,146.10725,1
Greystone Bluff,1019,55G,4 23 020,52 30 310,-43.07601,146.05439,4
"Guardians, The",1394,55G,4 19 065,53 52 730,-41.97327,146.02315,3
"Hadmar, Mount",735,55G,3 35 550,54 08 710,-41.45634,145.03103,1
Hamilton Crags,1515,55G,5 56 580,54 02 140,-41.53039,147.67822,1
Harrys Bluff,739,55G,4 42 430,52 05 620,-43.30005,146.29023,2
Hartz Peak,1254,55G,4 81 160,52 11 900,-43.24547,146.76793,2
"Hayes, Mount",1119,55G,4 38 800,52 24 260,-43.13193,146.24755,3
"Hazelton, Mount",669,55G,3 26 820,54 18 860,-41.36314,144.92947,1
"Hean, Mount",747,55G,4 04 330,52 20 740,-43.16004,145.8232,2
"Heemskirk, Mount",750,55G,3 48 550,53 64 630,-41.85574,145.17543,2
"Helder, Mount",737,55G,4 30 570,52 51 230,-42.88838,146.14973,1
Helen Peak,722,55G,3 30 310,54 08 880,-41.45372,144.96838,1
"Henry, Mount",675,55G,5 82 580,53 67 570,-41.83946,147.99463,1
"Hesperus, Mount",1098,55G,4 37 380,52 25 740,-43.11848,146.23026,2
High Dome,1366,55G,4 11 160,53 50 940,-41.98854,145.92748,5
High Round Mountain,760,55G,4 43 140,52 01 490,-43.33729,146.29855,2
"Hippo, The",940,55G,4 81 180,51 84 580,-43.49147,146.76724,2
"Hobbs, Mount",823,55G,5 48 555,52 94 090,-42.50403,147.59097,1
"Hobhouse, Mount",1222,55G,4 38 080,53 15 465,-42.31059,146.24867,1
"Hopetoun, Mount",1087,55G,4 59 660,52 11 690,-43.24651,146.50309,4
Horizontal Hill,1254,55G,4 18 930,53 51 545,-41.98393,146.02135,2
"Housetop, Mount",702,55G,4 07 090,54 27 130,-41.30194,145.89019,1
Howells Bluff,1245,55G,4 36 800,53 73 330,-41.78937,146.23938,1
"Hugel, Mount",1403,55G,4 24 390,53 38 210,-42.10456,146.08554,2
"Humboldt, Mount",1069,55G,4 16 090,52 86 910,-42.56566,145.97771,6
"Huxley, Mount",926,55G,3 83 700,53 33 620,-42.14091,145.59261,2
"Hyperion, Mount",1480,55G,4 20 070,53 59 200,-41.91511,146.03615,3
"Ida, Mount",1239,55G,4 30 700,53 47 690,-42.01977,146.16297,3
"Inglis, Mount",1281,55G,4 06 780,53 78 450,-41.7403,145.87895,3
Innes High Rocky,1083,55G,4 29 250,52 96 970,-42.47639,146.13927,4
Innes Peak,665,55G,3 84 980,52 78 540,-42.637,145.5971,1
Ironbound Range,1061,55G,4 57 190,51 83 590,-43.49939,146.47047,3
Ironstone Mountain,1443,55G,4 56 495,53 82 125,-41.71148,146.47705,2
"Jerusalem, Mount",1459,55G,4 43 870,53 69 905,-41.82075,146.32414,2
