Name,Height,Zone,Easting,Northing,Latitude,Longitude,Points
Rocky Hill,1194,55G,4 06 190,53 44 220,-42.04847,145.86642,1
Rodway Range,1377,55G,4 64 420,52 75 025,-42.67643,146.56575,1
"Rogoona, Mount",1350,55G,4 33 405,53 62 065,-41.89054,146.19726,2
"Roland, Mount",1233,55G,4 38 690,54 09 750,-41.4615,146.26586,2
"Rufus, Mount",1416,55G,4 25 595,53 35 990,-42.12467,146.09982,2
"Saddleback, Mount",1256,55G,5 63 565,54 16 780,-41.39801,147.7604,2
Sandbanks Tier,1401,55G,4 88 960,53 67 530,-41.84405,146.86702,1
"Sarah Jane, Mount",1290,55G,4 54 580,52 41 380,-42.97888,146.44295,3
"Scorpio, Mount",1106,55G,4 46 780,52 21 050,-43.16143,146.34535,2
"Sedgwick, Mount",1146,55G,3 85 420,53 48 960,-42.00304,145.61643,2
"Shakespeare, Mount",1221,55G,4 50 690,53 01 780,-42.43473,146.4005,2
Sharlands Peak,1140,55G,4 05 700,53 19 160,-42.27407,145.85644,2
"Sirius, Mount",1151,55G,4 40 180,52 22 550,-43.14743,146.26433,3
Slatters Peak,1300,55G,4 30 300,53 18 870,-42.27927,146.15469,1
Snowy North,1262,55G,4 71 100,52 54 590,-42.86073,146.64623,1
Snowy South,1398,55G,4 72 120,52 45 510,-42.94253,146.65827,2
"Sorell, Mount",1144,55G,3 79 800,53 18 990,-42.27204,145.54241,3
"Spires, The",1122,55G,4 28 630,52 93 690,-42.50587,146.13132,6
St Valentines Peak,1106,55G,3 95 930,54 20 940,-41.35632,145.75586,1
Stacks Bluff,1527,55G,5 57 340,53 91 510,-41.62608,147.68835,2
Stepped Hills,1111,55G,4 41 720,52 79 440,-42.63528,146.28917,3
"Thetis, Mount",1482,55G,4 16 975,53 65 105,-41.86161,145.99967,3
"Thumbs, The",1204,55G,4 47 095,52 74 985,-42.67579,146.35431,3
"Tor, Mount",1105,55G,4 07 500,54 12 770,-41.43131,145.8929,2
Tower Hill (East Tower),1100,55G,5 71 170,54 00 110,-41.54751,147.85334,1
Tower Hill (West Tower),1110,55G,5 69 450,54 00 860,-41.5409,147.83263,1
Tramontane,1142,55G,4 14 902,53 49 195,-42.0012,145.96189,1
Trestle Mountain,1160,55G,5 10 710,52 51 800,-42.88633,147.13116,2
Turrana Bluff,1450,55G,4 46 140,53 76 810,-41.75871,146.3521,1
Twin Spires (North),1406,55G,4 26 810,53 63 090,-41.88073,146.1179,2
"Tyndall, Mount",1179,55G,3 83 200,53 56 650,-41.93347,145.59115,2
"Victoria Cross, Mount",1120,55G,4 72 520,51 88 150,-43.45905,146.66032,4
"Victoria, Mount",1213,55G,5 70 340,54 23 935,-41.333,147.84061,2
Walled Mountain,1431,55G,4 18 740,53 56 460,-41.93965,146.01974,2
"Wedge, Mount",1147,55G,4 42 560,52 56 120,-42.84534,146.29705,2
"Weld, Mount",1345,55G,4 65 555,52 38 620,-43.00431,146.57738,4
"Wellington, Mount",1271,55G,5 19 375,52 50 705,-42.89602,147.23731,1
Wentworth Hills,1244,55G,4 43 130,53 25 710,-42.21871,146.31095,1
West Portal,1181,55G,4 52 140,52 17 360,-43.19502,146.41096,4
Western Bluff,1420,55G,4 40 220,53 92 480,-41.61716,146.28246,2
Wild Dog Tier,1394,55G,4 65 040,53 74 190,-41.78337,146.57929,1
"Wright, Mount",1112,55G,4 45 455,52 81 070,-42.62088,146.33488,3
Wylds Craig,1339,55G,4 49 895,52 97 410,-42.47404,146.39045,3
"Wylly, Mount",1110,55G,4 72 440,51 85 920,-43.47913,146.65922,3
