Name,Height,Zone,Easting,Northing,Latitude,Longitude,Points
St Valentines Peak,1106,55G,3 95 930,54 20 940,-41.35632,145.75586,1
Stacks Bluff,1527,55G,5 57 340,53 91 510,-41.62608,147.68835,2
Stepped Hills,1111,55G,4 41 720,52 79 440,-42.63528,146.28917,3
"Story, Mount",420,55G,6 05 960,53 13 650,-42.32218,148.28593,2
Strzelecki Peaks,782,55G,5 91 070,55 49 280,-40.20194,148.07005,3
"Thetis, Mount",1482,55G,4 16 975,53 65 105,-41.86161,145.99967,3
"Thumbs, The",1204,55G,4 47 095,52 74 985,-42.67579,146.35431,3
Twin Spires (North),1406,55G,4 26 810,53 63 090,-41.88073,146.1179,2
Tyenna Peak,1320,55G,4 63 255,52 72 190,-42.7019,146.55135,2
"Tyndall, Mount",1179,55G,3 83 200,53 56 650,-41.93347,145.59115,2
"Victoria Cross, Mount",1120,55G,4 72 520,51 88 150,-43.45905,146.66032,4
"Victoria, Mount",1213,55G,5 70 340,54 23 935,-41.333,147.84061,2
Walled Mountain,1431,55G,4 18 740,53 56 460,-41.93965,146.01974,2
"Wedge, Mount",1147,55G,4 42 560,52 56 120,-42.84534,146.29705,2
"Weld, Mount",1345,55G,4 65 555,52 38 620,-43.00431,146.57738,4
West Portal,1181,55G,4 52 140,52 17 360,-43.19502,146.41096,4
"Wright, Mount",1112,55G,4 45 455,52 81 070,-42.62088,146.33488,3
Wylds Craig,1339,55G,4 49 895,52 97 410,-42.47404,146.39045,3
"Wylly, Mount",1110,55G,4 72 440,51 85 920,-43.47913,146.65922,3
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
