Name,Height,Zone,Easting,Northing,Latitude,Longitude,Points
Coal Hill,1190,55G,4 19 180,53 45 360,-42.03965,146.02352,2
Coal River Sugarloaf,533,55G,5 33 800,52 79 500,-42.63621,147.41226,1
Coalmine Crag,1486,55G,5 53 790,54 00 610,-41.54436,147.64492,1
"Cockscomb, The",1020,55G,4 79 900,51 84 160,-43.49522,146.75139,1
Collins Bonnet,1260,55G,5 12 200,52 52 050,-42.88405,147.1494,2
Collins Cap,1098,55G,5 11 380,52 54 680,-42.86038,147.1393,2
"Columba, Mount",1042,55G,4 43 170,52 20 370,-43.16729,146.30087,2
"Communication, Mount",342,55G,5 53 970,52 35 130,-43.0346,147.66251,1
Companion Hill,852,55G,3 93 650,54 22 720,-41.33999,145.72892,1
Companion Range,864,55G,4 24 400,52 41 030,-42.97963,146.0728,2
Conglomerate Peak,735,55G,3 83 740,53 24 060,-42.22699,145.59119,1
Conical Mountain,1124,55G,4 30 670,52 91 130,-42.5291,146.15583,4
"Connection, Mount",802,55G,5 61 700,53 40 820,-42.08227,147.74597,1
"Connection, Mount",1130,55G,5 14 400,52 52 240,-42.8823,147.17633,1
Convent Hill,1270,55G,4 31 190,53 60 510,-41.90436,146.17038,1
Convict Peak,587,55G,4 00 640,52 90 430,-42.53213,145.79013,1
"Cook, Mount",459,55G,5 26 820,51 95 350,-43.39425,147.33117,1
Corfe Castle,1225,55G,4 30 380,53 16 960,-42.29648,146.15543,1
Corner Peak,865,55G,4 25 880,52 30 305,-43.07634,146.08952,2
Coronation Peak,1054,55G,4 19 370,52 48 440,-42.9124,146.01218,6
"Coronets, The",876,55G,4 37 200,52 50 680,-42.8939,146.23085,2
"Counsel, Mount",802,55G,4 38 080,51 89 130,-43.44817,146.23474,3
"Counsel, Mount",845,55G,4 06 330,53 06 130,-42.39147,145.86197,1
Counsels Peak,505,55G,5 94 080,55 59 870,-40.10621,148.10386,1
Courtney Hill,970,55G,4 13 900,53 97 400,-41.57044,145.96729,1
"Cow, The",1190,55G,4 85 290,52 00 080,-43.35199,146.81849,1
Cowies Bluff,826,55G,5 78 360,53 75 960,-41.76433,147.9427,1
Cracroft Hills,891,55G,3 93 770,53 03 720,-42.41156,145.70896,2
"Cracroft, Mount",738,55G,3 92 741,53 04 920,-42.40061,145.69668,1
Cradle Hill,1086,55G,5 15 010,53 43 410,-42.06123,147.18142,1
Cradle Mountain,1545,55G,4 12 730,53 84 690,-41.68478,145.9514,3
Crag Peak,420,55G,3 73 750,54 61 900,-40.98431,145.49922,1
Crags of Andromeda,1133,55G,4 52 030,52 17 590,-43.19294,146.40962,1
Craigow Hill,394,55G,5 33 400,52 59 770,-42.8139,147.40854,1
Cramps Sugarloaf,1200,55G,4 83 040,53 64 020,-41.87556,146.79561,1
Crater Peak,1270,55G,4 11 740,53 87 460,-41.65973,145.93992,1
Crescent Mountain,390,55G,5 74 860,52 18 760,-43.18022,147.92113,1
Crest Range,1020,55G,4 60 600,52 07 270,-43.28636,146.51435,3
"Cripps, Mount",943,55G,3 97 160,53 96 090,-41.58026,145.76632,1
"Crooke, Mount",1197,55G,4 67 820,52 77 340,-42.65573,146.60738,1
Cuckoo Hill,733,55G,5 53 400,54 34 720,-41.23716,147.63723,1
"Cullen, Mount",721,55G,4 32 530,52 56 980,-42.83678,146.17442,1
Cunninghams Knoll,1160,55G,4 49 405,52 99 365,-42.4564,146.38466,1
"Cupola, The",970,55G,4 22 750,52 45 540,-42.93886,146.05319,2
Curate Bluff,1278,55G,4 28 450,53 65 500,-41.85917,146.13796,1
"Curly, Mount",1065,55G,4 33 000,52 91 190,-42.52877,146.18421,4
"Curran, Mount",335,55G,4 22 840,51 98 430,-43.36303,146.04773,1
"Cuvier, Mount",1378,55G,4 19 260,53 46 970,-42.02516,146.02471,4
"Cygnet, Mount",587,55G,5 13 380,52 17 470,-43.19543,147.16468,1
"Cyril, Mount",797,55G,3 81 550,53 50 790,-41.98599,145.57008,1
D'Arcys Bluff,1182,55G,4 42 490,53 28 440,-42.19408,146.30346,1
"Daedalus, Mount",400,55G,6 07 360,53 13 390,-42.32433,148.30297,1
Darkes Peak,1208,55G,4 48 500,53 00 320,-42.44774,146.37374,1
"Darwin, Mount",1033,55G,3 83 330,53 20 960,-42.25484,145.5856,2
Davis Lookout,1206,55G,4 68 760,52 79 290,-42.63821,146.61895,1
"Dawson, Mount",1062,55G,4 58 750,52 89 550,-42.54534,146.49761,2
Dazzler Range,530,55G,4 76 740,54 36 090,-41.22624,146.72248,1
"Dazzler, The",500,55G,4 75 280,54 38 850,-41.20134,146.70517,1
Dean Bluff,1294,55G,4 28 210,53 66 500,-41.85015,146.13519,1
Deception Point,1320,55G,4 41 190,53 80 790,-41.72252,146.29295,2
Dells Bluff,1210,55G,4 77 770,53 75 700,-41.77023,146.73254,1
Den Hill,772,55G,5 53 130,53 66 030,-41.85585,147.64009,1
Den Hill,859,55G,5 06 960,53 01 150,-42.44194,147.08463,1
Denison Crag,1458,55G,5 58 255,53 92 265,-41.61921,147.69926,1
Detached Peak,735,55G,4 18 200,52 59 370,-42.81386,145.99944,1
Detention Peak,540,55G,3 71 140,54 57 570,-41.02289,145.4673,1
Devils Backbone,698,55G,5 22 670,52 85 150,-42.58573,147.27628,1
Devils Backbone,1119,55G,4 79 540,52 15 510,-43.21292,146.74811,1
Devils Thumb,1087,55G,4 56 730,52 09 230,-43.2685,146.46681,1
"Dial, Mount",480,55G,4 19 630,54 42 240,-41.1672,146.04195,1
"Dial, The",1083,55G,4 55 710,52 13 800,-43.22729,146.45461,2
Diamond Peak,1066,55G,4 21 740,52 98 430,-42.46252,146.04811,9
Diamond Tier,1022,55G,4 81 170,53 37 790,-42.11176,146.77223,1
"Dipwood, Mount",530,55G,3 68 770,54 54 510,-41.05007,145.43847,1
"Direction, Mount",368,55G,5 02 720,54 34 470,-41.24117,147.03246,1
"Direction, Mount",448,55G,5 25 130,52 61 560,-42.7981,147.30731,1
"Discovery, Mount",650,55G,3 85 270,52 86 870,-42.56205,145.60231,1
"Dismal, Mount",490,55G,5 08 570,54 34 210,-41.24347,147.10228,1
"Dismal, Mount",610,55G,5 26 490,52 80 490,-42.62758,147.32305,1
"Doctors Peak, The",319,55G,6 01 100,54 38 550,-41.19811,148.20572,1
Dog Hill,1100,55G,4 67 180,52 81 820,-42.61536,146.59983,2
Dogshead Crag,1070,55G,5 51 760,53 93 550,-41.60808,147.62119,1
Dome Hill,946,55G,4 45 240,52 78 630,-42.64284,146.33202,1
Dome Hill,1177,55G,4 03 420,53 56 950,-41.93351,145.83504,3
Dome Hill,1284,55G,4 57 840,53 75 900,-41.76762,146.49277,1
Domesday Bluff,1106,55G,4 28 000,53 20 960,-42.26024,146.12706,1
"Donaldson, Mount",437,55G,3 38 840,53 91 760,-41.6096,145.06586,1
Dorado Peak,1068,55G,4 43 000,52 21 850,-43.15395,146.29893,3
"Doris, Mount",1340,55G,4 20 950,53 64 620,-41.86639,146.04749,1
Double Peak,519,55G,5 96 990,55 28 640,-40.38719,148.14272,1
Double Peak,1061,55G,4 19 730,52 46 800,-42.9272,146.01636,4
"Douglas, Mount",422,55G,5 59 040,52 94 450,-42.50006,147.71854,1
"Dove, Mount",485,55G,6 08 070,53 32 570,-42.15154,148.30801,1
"Dromedary, Mount",989,55G,5 09 555,52 71 075,-42.71276,147.11669,1
Druids Hill,845,55G,4 48 920,52 45 780,-42.9389,146.37394,1
Drys Bluff,1330,55G,4 83 865,53 81 940,-41.71417,146.80604,2
Du Cane Range,1520,55G,4 21 285,53 58 740,-41.91937,146.05074,3
"Duncan, Mount",681,55G,4 19 140,54 39 200,-41.19453,146.03571,1
"Dundas, Mount",1143,55G,3 73 370,53 60 710,-41.8954,145.47349,2
"Durham, Mount",760,55G,5 89 080,53 99 950,-41.54715,148.06807,1
Eardley Tor,408,55G,4 35 530,54 26 040,-41.31453,146.22976,1
East Jukes Peak,731,55G,3 84 140,53 31 120,-42.16348,145.59744,1
East Portal,1008,55G,4 54 600,52 14 310,-43.22263,146.44098,3
"Edgecombe, Mount",475,55G,5 22 940,54 18 320,-41.38632,147.27437,1
"Edith, Mount",772,55G,3 33 160,54 09 290,-41.45063,145.00259,2
Edwards Peak,740,55G,5 76 070,54 21 700,-41.35261,147.90936,1
Eldon Bluff,1361,55G,4 02 770,53 52 170,-41.97647,145.82642,5
Eldon Peak,1439,55G,3 94 980,53 52 350,-41.97385,145.73244,5
Eldon Range,1321,55G,4 00 910,53 53 170,-41.96723,145.80414,4
"Eleanor, Mount",396,55G,3 98 490,52 54 420,-42.85606,145.75751,1
"Elephant, Mount",757,55G,6 03 935,53 91 945,-41.61745,148.24753,1
Eliza Bluff,1304,55G,4 52 480,52 43 050,-42.96371,146.41734,1
"Eliza, Mount",1289,55G,4 51 645,52 43 100,-42.96321,146.4071,2
Elliot Range,911,55G,3 94 830,52 96 400,-42.47761,145.7205,2
"Emma, Mount",964,55G,4 15 450,53 15 430,-42.30878,145.97411,2
"Emmett, Mount",1410,55G,4 15 335,53 81 915,-41.71005,145.98231,2
Endurance Bluff,525,55G,5 79 730,54 61 430,-40.99442,147.94793,1
"Eros, Mount",1373,55G,4 19 670,53 58 140,-41.92461,146.03119,2
Esperance Peak,1056,55G,4 84 550,52 05 570,-43.30254,146.80951,2
"Esperance, Mount",400,55G,5 02 630,52 09 700,-43.26551,147.03241,1
Espies Craig,637,55G,5 01 300,52 87 190,-42.5677,147.01584,1
Eve Peak,1357,55G,4 53 170,52 44 360,-42.95196,146.42591,1
"Everett, Mount",892,55G,4 05 090,54 20 620,-41.36033,145.86529,1
False Dome,1093,55G,4 28 320,52 93 420,-42.50827,146.12751,2
"Farrell, Mount",711,55G,3 86 720,53 77 160,-41.74931,145.63752,1
"Faulkner, Mount",900,55G,5 15 870,52 61 870,-42.79555,147.19406,1
Federation Peak,1225,55G,4 57 460,52 08 910,-43.27142,146.47578,10
Fergus Bluff,1240,55G,4 59 670,53 52 650,-41.97712,146.5132,1
"Field East, Mount",1274,55G,4 71 020,52 77 500,-42.65442,146.64643,2
"Field West, Mount",1434,55G,4 60 240,52 77 235,-42.65632,146.51489,3
"Fincham, Mount",802,55G,3 93 130,53 23 910,-42.22968,145.70492,2
Fisher Bluff,1408,55G,4 43 920,53 82 490,-41.7074,146.32593,1
Fishers Sugarloaf,948,55G,4 80 370,53 34 930,-42.1375,146.76246,1
Fishers Tier,998,55G,5 47 730,53 93 210,-41.6114,147.57285,1
Five Mile Pinnacles,1189,55G,4 77 110,53 49 010,-42.0106,146.72356,1
