Series,Name,Parent,MGRS,eastingMin,eastingMax,northingMin,northingMax,mgrsMid,eastingMid,northingMid,p1,p2,p3,p4,p5,p6,p7,p8,,,,,,,,,,,,,,,,,,,,,,,,
TJ06,Paloona,8114,DQ   ,20000,59999,20000,49999,DQ,40000,35000,DQ2000049999,DQ5999949999,DQ5999920000,DQ2000020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM07,Penstock,8212,DP   ,60000,99999,30000,59999,DP,80000,45000,DP6000059999,DP9999959999,DP9999930000,DP6000030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TK08,Perth,8114,EP  EQ ,0,39999,90000,19999,EQ,20000,5000,EQ0000019999,EQ3999919999,EP3999990000,EP0000090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS05,Port Davey,8011,CN DN CM DM,90000,19999,32000,39999,DM,05000,54000,CN 90000 39999,DN 19999 39999,DM 19999 32000,CM 90000 32000,,,,,,,,,,,,,,,,,CN9039,DN1939,CM9098,DM1998,DM1197,DM1997,DM1185,DM1985,DM3239,DM8939,DM8432,DM8932
TD09,Prime Seal,8517,ER   ,40000,79999,70000,99999,ER,60000,85000,ER4000099999,ER7999999999,ER7999970000,ER4000070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP05,Princess Range,8112,CN DN  ,80000,19999,70000,99999,DN,00000,85000,CN8000099999,DN1999999999,DN1999970000,CN8000070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP09,Prosser,8411,EN   ,40000,79999,70000,99999,EN,60000,85000,EN4000099999,EN7999999999,EN7999970000,EN4000070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJ04,Rapid River,8113,CQ   ,40000,79999,20000,49999,CQ,60000,35000,CQ4000049999,CQ7999949999,CQ7999920000,CQ4000020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJ03,Rebecca,8514,CQ   ,0,39999,20000,49999,CQ,20000,35000,CQ0000049999,CQ3999949999,CQ3999920000,CQ0000020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJ08,Sideling,8214,EQ   ,0,39999,20000,49999,EQ,20000,35000,EQ0000049999,EQ3999949999,EQ3999920000,EQ0000020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQ07,Snowy Range,8112,DN   ,60000,99999,40000,69999,DN,80000,55000,DN6000069999,DN9999969999,DN9999940000,DN6000040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS08,South Bruny,8211,EM EN,0,39999,80000,9999,EM,20000,95000,EN0000009999,EN3999909999,EM3999980000,EM0000080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT06,South Coast,7912,DM   ,20000,99999,64000,79999,DM,60000,72000,DM 20000 79999,DM 99999 79999,DM 99999 67000,DM 60000 67000,DM 60000 64000,DM 20000 64000,,,,,,,,,,,,,,,,,,,,,,,,,,
TM06,St Clair,8212,DP   ,20000,59999,30000,59999,DP,40000,45000,DP2000059999,DP5999959999,DP5999930000,DP2000030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN09,Swanston,7912,EP   ,40000,79999,0,29999,EP,60000,15000,EP4000029999,EP7999929999,EP7999900000,EP4000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TH05,Table Cape,7916,CQ DQ  ,80000,19999,50000,79999,DQ,00000,65000,CQ8000079999,DQ1999979999,DQ1999950000,CQ8000050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR09,Tasman Peninsula,8311,EN   ,48000,87999,10000,46999,EN,68000,28500,EN 48000 39999,EN 51000 39999,EN 51000 46999,EN 60000 46999,EN 60000 39999,EN 87999 39999,EN 87999 10000,EN 48000 10000,,,,,,,,,,,,,,,,,,,,,,,,
TH04,The Nut,,CQ,40000,69999,50000,91999,CQ,55000,71000,CQ 40000 91999,CQ 69999 91999,CQ 69999 50000,CQ 40000 50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TF03,Three Hummock,,CR,0,39999,10000,39999,CR,20000,25000,CR0000039999,CR3999939999,CR3999910000,CR0000010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN08,Tiberias,8212,EP   ,0,39999,0,29999,EP,20000,15000,EP0000029999,EP3999929999,EP3999900000,EP0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM04,Tully,7912,CP   ,40000,79999,30000,59999,CP,60000,45000,CP4000059999,CP7999959999,CP7999930000,CP4000030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN07,Victoria Valley,8212,DP   ,60000,99999,0,29999,DP,80000,15000,DP6000029999,DP9999929999,DP9999900000,DP6000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQ08,Wellington,8312,EN   ,0,39999,40000,69999,EN,20000,55000,EN0000069999,EN3999969999,EN3999940000,EN0000040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TR06,Western Arthur,8210,DN   ,20000,59999,10000,39999,DN,40000,25000,DN2000039999,DN5999939999,DN5999910000,DN2000010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TK04,White River,7915,CP  CQ ,40000,79999,90000,19999,CQ,60000,5000,CQ4000019999,CQ7999919999,CP7999990000,CP4000090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
